"username","description"
"tldix934","I am an American. I believe is our constitution and support our democracy. I don't think my age, sex, race or religion should negate my opinions."
"JanetKoenig1",""
"Mick_Frew","Larger than Life Drag Queen, Porn Addict, Sarcastic Bitch, Jewelry Whore"
"jrns1Trade",""
"TwoDogTrail",""
"donna_sparkleez","Army Brat,mom & football nut! Dachshund mom and DiYer. “when you know better you do better’ M Angelou"
"ANNSISCO1","I am old enough to remember Nixon impeachment.
CON DON & TRUMP CRIME FAMILY is 10 times worse.
NO  DMs"
"Lawlor224","‘I hold that the more helpless a creature, the more entitled it is to protection... from cruelty...’ M. Gandhi. Go VEGAN be the change .:seedling::globe showing Europe-Africa::paw prints::paw prints::lady beetle::dove::honeybee:"
"YOSISU",""
"AngeliaPrest","Retired RN, BScN, mother of 3, in a relationship. Interested in local, national & international politics. Animal lover."
"scott_squires","Director, VFX Supe-The Mask, DragonHeart, Star Wars: Phantom Menace, etc, VES Fellow, Close Encounters- 1st film. Pol tweets my own."
"BLouMcMillan","4th+ generation Floridian, art, history, books, politics, foodie, smart ass subbing for @ PoliticalBee after losing password & 10K+ followers."
"geekygenie","Ambivalent Scientist. Ph.D. in genetics, minor in biochemistry. Practicing virologist and molecular biologist. I stand with :flag: Ukraine:"
"marilynbowes",""
"sharonNickers19","Owner of SANA el Jardín Secreto Santiago Dominican Republic"
"KatP147369","human•kind be both #Beto2022"
"Masky_Jay_Hoody",""
"kellyb20201","Alchemist of liquor. Soldier in the Army of The Decent
#NotoriousRBG 
Illegitimi non carborundum
I cuss a lot.
NO Lists
Gen X
#StandWithUkraine"
"ag_create1",""
"trustingmyvibes","Old soul taking road less traveled.:blue heart::two hearts::globe showing Americas: Self-love is essential for authenticity. “The purpose of our journey is to restore ourselves to wholeness” Debbie Ford"
"CheriJacobus","https://t.co/aCszRRdbKu
https://t.co/1yXcrc69nS
ex-GOP, Exec Prod """"America Reads The Mueller Report"""" https://t.co/xJccxG3yJb 
https://t.co/e3G2YT54Sj…"
"Treasonweaselhu",""
"havyhh","gone elsewhere...."
"denton310","I stand with Ukraine and democracy :flag: Ukraine:"
"dwebspider","resister, anti-putin, anti-traitors/russian operatives in office. Protect planet, climate change is real, hate poachers of endangered species."
"CtApproximately","Cycling, paddling, hiking, camping and hosting Monarch butterflies.  DM = Suspicion.  Army veteran."
"WhoIsAsking8","Take care of yourself and care about others. slowly migrating to @mastodon.social"
"jerrylenhart5","Scottsdale AZ Realtor Villa Monterey Hiker Bicyclist Kayaker Lousy Guitar Player"
"BlueFlameBurns","#BidenHarris. Grandchild of immigrants, supporter of journalists. #PostcardsToVoters #BackToBlue #Victory2020 #MarylandResponds"
"mercenarygraphi","Original artist in Modesto, art for sale, does art projects, special events, historian"
"dbk7269",""
"DebaranAlex","MoT. ENM. GGG.  
Here to nuzzle the kind, bark at the wicked, and bite louts.
Likes, follows, and retweets mean fuck-all; i don't know who most of you ppl are"
"DeniseParringt4","No DMs!!!"
"horsehugger","Maverick, pragmatic humanist, farmer/businessman, woodworker, old tractors, real science. Genealogy nut. Shawnee Straight Tail Meaurroway 7th greatgrandfather"
"CaranSusan",""
"JeffreyAWillia4","I am dynamic, Retired Marine Aviator, #Bitcoin investor, #OTCtrader, #Cryptocurrency exchange developer, #Entrepreneur, #Venturecapitalist, #ITsecurity"
"WorldPeacegood",""
"FactsREvidence1","Ret conflict pro; Mom-frmr FBI; pop-former Navy WW11. Folks, Putin is an assassin, plain & simple. #ArmUkraineNow"
"Cathryn12164403","dog mom, gardener, music lover...VOTE."
"Rmhcpa875","Married, self employed CPA 5 employees, veteran (USAF),3 adult children, 6 grandchildren, part time college instructor, registered independent, motorcycle rider"
"debraalv",":water wave::water wave::water wave:Resister #VotingRights #WomensRights 
#VoteBlueAlways
no DM's please, I block all MAGA & Q idiots"
"loveis716","Love is my REAL last name! I enjoy cats, humor, writing, music, & books. Equality & justice for all :raising hands: light skin tone::raising hands: medium skin tone::raising hands: medium-dark skin tone::raising hands: dark skin tone: #lupuswarrior:face with medical mask: #VoteBlue:prohibited:DM’s I RT a lot"
"mammarama14","Music Lover from WNY ~ Politics: good/bad/&ugly."
"groves_lin","“Fight for the things that you care about, but do it in a way that will lead others to join you.” RGB"
"norsemndem",""
"TymberDalton","(She/Her) Snarky, mostly harmless author, geek, Pagan witch, Oxford comma :heart suit:er. Gives good brain. Part-time shield maiden in training. Spoonie. #AuDHD"
"MapleNutter",""
"divineP","DivineP@mastodon.spf.org fun loving, water freak, that loves music, wine, chocolate, travel.......life. EMT """"wine, whiskey and guitars"""""
"Beethisone","Staff Editor Honeysuckle Magazine, Writer/ Opinions are my own. Funny is everything."
"ClaytonRobins","Farming with Family (founded in 1891), Nuffield Scholar, researcher. Follower and Practitioner of Science, not fairy tales. Focused on resiliency in Ag systems."
"n_ymiller","Former Republican, NEVER tRumper, proud gun owning American who is not moving on from the 1/6 terrorist attack. #GOPBetrayedUSA #SeditionHasConsequences"
"KathleenWoodw17","Yellow Dog Democrat, love fashion and politics, animals, and millions of other random things.:flag: United States:"
"lightboxgallery","Look at this photograph, everytime I do it makes me laugh..."
"loligaines","Mom, Artist, Purveyor Of Tolerance.  “Speak the truth, even if your voice shakes.”"
"SeekTruth2021","I have zero tolerance for willful ignorance.
“Never argue with an idiot. They will drag you down to their level and beat you with experience.” ― Mark Twain"
"vroom_patricia",""
"magicdmw","Interested in science and the humanities. Keen syfy fan, huge star trek fan. Also into current affairs and economics. Pretty curious about everything."
"Norm_Donna",""
"SAdarryl","Architect, educator and wanna-be foodie in San Antonio, Tejas!"
"tontonlove",""
"2cannan1","#RESIST"
"cece_witter",""
"HawkmanAlex","I live in the mountains with two dogs I suspect used to work for the NSA. They watch every move I make. They are watching me now."
"LoriBrabant","#ForThePeopleAct, #StandWithUkraine, #DemCastUSA, Boston Strong, Resister, Feminist, Activist, Indivisible, ACLU & LBGTQ supporter"
"gingergale29",""
"HopScott21","Avid Sabres, Bills and Buffalo fan. I love beer and having a good time."
"fight4women","Climate Change, the #1 issue facing humankind. 
#BlueWave2024 #ProudFeminist #Prochoice #EqualRights #LGBTQ+ #BLM #ExpandTheCourts #EndFilibuster #Ukraine"
"Outlierbychoice","Journalist, writer with focus on health and medicine. Love wine, tennis, basketball, football, running, & UCLA Bruins. Facts matter."
"gadfly","I feel a desperate need to be irritating and reform society."
"ECrupi",""
"Griff_John","Sports fan"
"Greyshadow59","Scientist/consultant, avid supporter of equality for all people, lover of democracy, married to the love of my life, father of amazing children & grandchildren"
"vivartist14",""
"fuzhi_lin","#FBR. #resist. GQP is the American Nazi Party! #VoteBLUE2022, defend our democracy!"
"TuSweetsia","I'm an old lady that dont give a shit..I dont answer DMs ever for any reason.  Firm resister and Marine/Navy mom. To many # to list- just vote blue already!:blue heart:"
"JAndiBold1","Sociologist. Occupational Therapist.Consultant for action research, organizational development and race relations. Retired. PROUD RESISTER. No DMs. NO DMs!!!!!!"
"greensilkmini","Run for Something, every election, school board to State level.
Eliminate gerrymander & """"Citizens United"""".
Take back American education.
Live in truth & facts."
"PolkCountyChimp","It's not about how hard you can hit, it's about how hard you can get hit and keep moving forward. How much you can take and keep moving forward. - Rocky"
"Sssnowffflake","Teacher .Protection of our founding fathers beliefs. Our Constitution must be protected. JOINED twitter to help resistance, love our country!"
"missb62","Stroke survivor, Mother, Grandmother, liberal dem,blame Reagan for Econ. mess,am that nice lady @ church"
"D_Glenn101","Trinidadian-born American librarian & intersectional environmental organizer :flag: Trinidad & Tobago::flag: United States: :rainbow flag: cofounder of @FoundationGlenn #ITrollBack EN:flag: United Kingdom: DE:flag: Germany: ES:flag: Spain:"
"3GirlsMeemaw","#Resist #FBR #OrganDonorAwareness :water wave::water wave::water wave::water wave::water wave:"
"EllenBridle","Activist/organizer: phone banks, canvasses, voter reg., postcards. Helping people volunteer. Let's vote out Mango Mussolini & every one of his @#$ criminal GOP."
"emallca",""
"sabragallagher",""
"JDignum","Sci-fi fan on the side of Nortel LTDisabled & former employees; health, democracy & facts. Resist RepubliCons globally. Flitting back and forth for now - mstdn."
"waderdave","Over 40 years of experience wading Florida's flats, beaches and bays.  Guiding and teaching wade fisherman where, when and how to catch fish since 2001."
"BLongstr","Former Director of Corporate Communications. Recently retired. My views and the opinions I share are my own."
"whenpigsflyyy","Bleeding Heart. Bunny & Tree Hugger. (Eleanor) Roosevelt Democrat #Vaccinated  Find StanleysMom on Post @ whenpigsflyyy"
"Sassytech9",""
"Jack4Ward","Time to choose a side. The dark side thinks it’s won but hope still lives. #Resistance"
"Prince863","X-Rapper, College Educated, with a love for :peace symbol:, poetry, history, and God.:OK hand: Independent Thinker:person in suit levitating: dark skin tone:"
"jjtweeter","There will be no unity without truth & accountability. """"Trump is aiding & abetting Russia"""" says Nat’l SecurityAdvisor HR McMaster."
"nodedog","Elections over, Joe Biden won.  I consider ad Twitter accounts garbage and will be blocked.  Not trying to get large numbers of followers.  No dms.  No lists."
"smith_anania","I love my hubby & fur babies!! #Papa #JackRussel :blue heart::raising hands: medium-light skin tone::flag: United States:"
"boyles_christy","I am just me"
"MadamWiser","Not a casual observer.  :sunflower:  
Proud member of Team Normal.

Americans don't want a civil war.  We want a CIVIL SOCIETY.

New York"
"ntobias1","Living the life here in FL"
"chestypuller92","Jeremiah 29:11                                                     Phil 2:13"
"sievertdave","I care about what happen to Florida and the US--I see our basic rights being destroyed and the Constitution being turned into a mockery by trump and desantis"
"NYCINORL","She/Her -Hockey Lover :ice hockey:- Want-A-Be hockey photographer :ice hockey::camera with flash: - Whiskey Drinker :tumbler glass: - Collector of hockey jerseys - Inked Lady - ACAB"
"shoathree",":water wave: #wtpBLUE  He IS still the BIGGEST LOSER - The GOP still doesn't have a plan for the Americans, but they plan INVESTIGATIONS on Americans!!
:prohibited:MAGAs"
"PCBSNews19","News 13 News Director in Myrtle Beach; Emmy/Peabody winner-- news tweeter, Motown native, CMU grad, #TramHOF; Lions WILL win Super Bowl in my lifetime"
"TheOceanTree","Promoting habitat restoration, community engagement, and conservation of the Indian River Lagoon and beyond.  Mangroves foster community! #oceantree #mangrove"
"MikeFoley945","/"
"paul_a_kowal","Storyteller/Writer :keyboard:
Former: Technical Director -CUNY, Stage Carpenter/Electrician, Draftsman, Stage Manager /Lighting Designer -BL, Software Training Manager."
"AdvanceUSF","The University of South Florida is a preeminent research university. Gifts to the USF Foundation impact teaching, research and student success."
"chrislongview","Proud Montanan & Floridian. Huge nerd w/ a lab named Shelby. I raise lots of $ for stuff. Loves: Emory, Vanderbilt, Columbia, USF, beach, clearly a homo."
"carol_clovely4","Grandmother of four HRC #RESISTANCE Hate Trump with every fiber of my being. #KHive  So proud of our President and Vice President."
"OmegaForensic","Omega is a professional engineering firm providing support to insurers, adjusters, attorneys, owners & property managers. Tweets are informational only."
"mikesara444","If you make someone think they're thinking, they will love you, if you really make them think, they will hate you. Dan Marquis"
"pillofairy",""
"BackpackandGear","One person's Backpack experiences in heavenly places and the gear used. How will you benefit? By having better health, an uplifted spirit and lots of great fun!"
"Charlieflagat","Sheet Metal Worker/ Welder/ Gentleman Farmer / Big Time Wrestling Fan / Gator Fan #Spacenerd Limited patience with Marxist/Leninist’s"
"ToniRagusa","The truth will set you free, but first it will piss you off.—Gloria Steinem |You can have nice weather or democracy! That’s life in a blue state."
"ginacanti","basic dog mom"
"whrjongo55","Happy in love 41yr,I say Gay, I love You Roy!!! Cher,:smiling face with heart-eyes:,White Castles,Hudson Valley, LI NY He/Him:rainbow flag::water wave::airplane: Pan Am collector"
"LISAAVRAM",""
"PomLvr","Just trying 2 get through this thing called life. #Prince #Negril #NeverTrump"
"rwentworth1","Marketing, Communications, PR, IR & Branding. vote! https://t.co/6SIYqnaPch: @rwentworth1 Mastodon: @rwentworth@awscommunity.social"
"MarchionnoJoe","PhD engineering student :chart increasing: @angeliniecology -Coastal restoration #ecology | freediver :merman: medium skin tone:| L4 routesetter and climber :man climbing: light skin tone:| he/him"
"jesusmisanador","Paciente de Psoriasis grave pero no me impide seguir luchando por mis Sueños aunque mi Dios no me sane lo seguire amando."
"motowngrl28",""
"Justcreations1","Thor the Neo-Usul comments on pop cult at 
https://t.co/4n4JUZT3zH…
Fantasy content is covered here:
https://t.co/kq6CFQSpU2…"
"Civil_Civics","#resist :flag: Ukraine: #persist #climateemergency 
personal acct- President of @Flademenvcaucus DECF"
"puustikorva","väliaikainen ulkosuomalainen USA:ssa. Uutisaddikti, joka yrittää vähentää."
"votematters2021",""
"AshleyAlready","I wanted to go out and change the world but I couldn’t find a babysitter."
"Gone2Ceed","PRIMITIVE FEMINIST :yellow heart::white heart::purple heart:

#GunViolenceIsMaleViolence

Don't be a sexist racist

#SexMatters

Porn hurts humans

#DefundTobacco"
"PaulWartenberg","Librarian, writer, scholar, Xer punk. Always sober and never sane. COVID is still out there, vax and mask. #IStandWithUkraine 
If Twitter dies, save the radio!"
"1trillion2one",""
"No_Mattic","Husband, Father, Bengals, Reds, Canes, Bolts. I move a lot."
"bajabug","""""The Party told you to reject all evidence of your eyes and ears. It was their final, most essential command."""" - """"1984”George Orwell Mayflower & P Henry Dece"
"EveLyn_Eub","Fl Grl, atomic age, garden crazy, retired RN, :cherry blossom::water wave: proud of Biden and Harris. Get vaccinated people."
"tyharbs","Renaissance nurse ♤  If it was so, it might be; and if it were so, it would be; but as it isn't, it ain't. That's logic. Lewis Carroll"
"CrabbWanda",""
"AlyssaAlessi","Sag:Sagittarius:️
HWA member 
MG horror coming 23’ from Cinnabar Moth

#horror #kidlit #spookyMG #horrorwriters"
"BIG1059FM","South Florida's Classic Rock! :sign of the horns: light skin tone: Home of the Miami Dolphins, @CastronovoShow from 6:00-10:00 am, @ameliaonair, and @DocReno!"
"DeForestNews6","Welcome to the official twitter page for News 6 Investigative Reporter Mike DeForest."
"144Health","I Share Advanced Health Information from the Top Bestselling @medicalmedium Books on Healing Chronic Illness (not affiliated) :Statue of Liberty:

:play button:Follow for Optimal Health :four leaf clover:"
"WeaverBirdEr",""
"Karthikgsks","Fleet as an arrow :,;:,உலகப்பொது மறை திருக்குறள்"
"_leftallthetime","looking for comrades in this capitalist nightmare. Worker, AnCom, Anti-fascist, dad. he/him. BLM!"
"StPeteMomma","Opinionated. MomLife 
Supporter of human rights & equality.  Gardening FibroWarrior Sarcasm & Humor GenX Survivor 
Live, love, laugh, repeat. :latin cross:"
"FL_Chelle","You can't ride two horses with one ass, sugarbean. Read my timeline and #RollTide."
"YoooBroooHammm","Father of PR"
"Matt_Cohen_","Covering breaking news/Pasco County courts for @TB_Times | @iubloomington alum | Send tips: mcohen@tampabay.com"
"johndoylejr","E'ryday I be shufflin...

warning. . I'm a serial retweeter.."
"PPizzlewizzle","I read a particular comic book and lost my mind."
"Michael92767585","just on here checking out to see what Twitter has to offer that is about it really and see what happens and bring people together that's what it's about.:beaming face with smiling eyes::right-facing fist::hundred points:"
"KarenLeidy9","I have #AML I hope to live long enough to see the Republican party wiped out of existence. SO, LET'S HURRY UP!! #CFS #ME #Cancer #Leukemia #LoveIsLove #Veterans"
"hooperemm80","to help find missing love ones, missing pets. to get justice 4 victims"
"MissHarris80","Khalan and Kaitlins Mom:sparkling heart:

He may not come when you want him but he's always on time."
"EelZebra","Vax yourself and back up offa me. Yeah, I got a mask on. You got a problem with that? Best step #StandWithUkraine The pen is mightier than the sword. #VoteBlue"
"Tiuchis10","Psicologa bipolar y madre de dos bendiciones"
"1magicdave","Technology & Science"
"sharpe_noelle","I am a Married mother of 2 boys. I am a Roman Catholic. I love Nature, Vegan, Yoga, Running, Earth Final Conflict and Next Level Soul."
"jn_eclipse","wife, mother, grandmother, retired RN. :parrot: :parrot: :parrot: parrot mom. #Resister #FBR #GunControlNow #WomensRights #StandWithUkraine :flag: Ukraine: #VotingRights #:blue square:"
"ClesterRebecca","I like facts, not fiction. Former navy wife and traveler. Save the rainforests. :water wave::water wave::water wave:"
"WeatherProf","WFLA-TV (Tampa Bay) Chief Meteorologist and Climate Specialist. BS Atmospheric Sciences Cornell U. MA Climate Columbia U. Past CBS News NY and Miami, Tampa, WPB"
"_jumprightin","Sports. Ramblings. Queer af. #BBN #DaBears #DawgPound #Cubs #Hawks #UKToTheNBA #Wrasslin #CurlEmIfYaGotEm #GreatWhitesOrBust"
"MC_Punk22","Life motto: “Find someone who loves you like NCAA officials love calling charges.”"
"lillibet_marie","adventures through the Anthropocene with this woman of a certain age"
"KlutzCargo","He/him with a Yuba Mundo, a Surly Cross Check, and a few other bikes. Try to ride every day, and to use my Car as little as possible."
"officialare_j","Personal acct. :flag: Mexico:. Deputy Comms Director, @flhousedems. Love my plants #plantpapi :potted plant:. ΣΛΒ. @floridastate alumnus. All Tweets are my own. RTs ≠ endorsements."
"MaryannePena329","married 35 Years :smiling face with sunglasses: Mom of 2 girls, go UCF Knightshttp://www.greenplanetwaterways.org"
"pmagn","#ClimateEmergency 
Born ~@318ppm :flag: Jamaica: :flag: Canada:#istayontheground  #photography #pnw #xr #MEER"
"MarcosPena1961",""
"TampaNarwhal","Narwhals Narwhals swimming in the bay!  #420 friendly.  Team Sugar Britches.♡  They/Them/Theirs"
"DauntlessDanny","proud father, lucky husband, Amazoneer, fiat miner, anything poker, handicapping, chess, futures, options, microbiota"
"meanwhilefl","I tweet therefore I ...no no....."
"JaSnow6","Retail Manager and hobby photographer of nature & wildlife."
"marioarizabaez","#Dominicano. Investigative Reporter @floodlightnews. Author of Disposable City. Order: https://t.co/jeJYnQD3vR Follow us: https://t.co/m59oEJXKbA"
"TheAsthmaCures","#TheAsthmaCures https://t.co/vRkYeArZWg helping those with chronic #asthma https://t.co/7SMiyxzFdG resolving https://t.co/nIlzNga34W https://t.co/T67YXQ3eBZ"
"KaileyTracy","Reporter for @Fox13News | Proud @ElonUniversity alum | Baltimore native | Avid foodie | Sunset enthusiast | @Ravens fanatic | Stories :right arrow: kailey.tracy@fox.com"
"NotfreeunderGOP","Proud Democrat working to #flipFloridablue #healthcare #votebluetosavedemocracy #Bluewave"
"jeffvandermeer","Author of Annihilation, Borne. President, Sunshine State Biodiversity Group #VanderWild he/him

jeff@vandermeercreative.com  https://t.co/zmCWXd7Amz"
"CourtneyLee0329","Wife:revolving hearts:Mommy of 5 :crossed fingers:🫶
$CourtneyLee0329
#TeamStacks
#TeamEricLamarBeatz
#SlickGang"
"Barak_Shapiro","Husband, Father, Florida State grad, and then Meteorologist by day...gym rat by night."
"RubenCapoteTV",":high voltage:Meteorologist/Weather Anchor at Telemundo 49  :high voltage:La Autoridad en El Tiempo :high voltage:NBCUniversal/Telemundo 49 Tampa"
"ravinaproject","Our household is a self funded engineering science research project. Our work covers many areas including solar PV energy harvesting and Grid resiliency."
"Internewscast1","News - Gossip - Entertainment and Tremding Updates"
"WX_INTEL","Meteorologist w/ 47+yrs experience / Hurricane & Long Range Forecasts / Arctic Climate - Weather ...  New found Political Voice in Desperate Times"
"Phrogg1822","International Geologist and Professional Frenchmen. Opinions are my own. Treat others as you would like to be treated."
"adhemartv","Husband, Father, Son, Brother, Americano."
"WRNAmbassadors","Official Twitter account for the NOAA Weather-Ready Nation Ambassador:trade mark: program. Details: https://t.co/1J1PgUE0rR"
"LittleSteph71",""
"Chelshavinfun",""
"FeloniousSpee","This Twitter account is for building my cognitive bias' gilded cage."
"RoosforFlorida","2022 Libertarian candidate for Florida Governor. Freedom without Compromise. #VoteGold #FreeRoss #Bitcoin"
"Adopt4uLynn","I want to bring joy to your life. I can show you how. Christian Mindset Coach, Wife, Animal Lover. Everything I learned about God I learned from animals."
"laurenhart_98","PhD student @UMich Chem Bio | Texas Ex | Multi-Omics of Harmful Algal blooms :microbe: (Sherman/Dick labs) | laurenhart@mstdn.science"
"ElDon78","From the Chelsea Naval Yard to high school, Riverside CA. 4 yrs UCSB, 2 UCI, 3 more UO, 2 at U. Chi., 18 at FSU (Go Noles), 31 and counting UCDavis (go Ags)."
"HetheFalcon","The attack on Ukraine is driven by GREED. If we stand w/the people of UKRAINE & protect our planet, we will END our ADDICTION to FOSSIL FUEL #NODIRTYDEAL :police car light:"
"FLWaterways","Challenging communities to improve, beautify, and protect our ecosystems. Learn more: https://t.co/SvGYPuqTcH :smiling face with sunglasses: #ThrivingEcosystems #PlantNative #SoFloCleanups"
"luguash","From Puerto Rico
Business owner of OMG Meal Prep
Love the :umbrella on ground::beach with umbrella:
sci-fi movies
comics
sex and rock and roll :sign of the horns:"
"LeslieFarrell","publicist/writer - striving for planet protection and peace of mind for all; enjoy helping others promote their own passions"
"UltraViolette76","Nature lover, adventurer, Carpe Diem aficionado."
"RCLM567","I’m just here to read the comments. :beaming face with smiling eyes:"
"ScarletM1926","Reproductive Rights. Democracy. I will never stop fighting for my country:flag: United States:"
"BGMCREATIVE","Author , Award Winning Creative Ad Man, Marketing and PR Specialist, BMI Songwriter, Broadcast and CableTV Veteran,   Motto: If it's not fun don't do it"
"SaltyLenore","I need salt in my hotel room."
"K9RescueDrFloof","Lived on the street most of my life. I am so #thankful that @FLWaterways rescued me! #DogsofTwitter (tweets are unofficial and personal. #ClimateAction"
"Lisaaw12",""
"kaypilch1679","Iowan living in Florida
:high voltage:️Bolts3peat- let's go!:high voltage:️:watch:️:cloud with lightning:"
"BenLSwanson","""""It's a great day to have a great day."""" :blue heart: Adventuring through life with @CalebMerendino & 2 cute pups. :man:‍:handshake:‍:man::dog face: @StudioSwanson :musical keyboard: @FLWaterways :globe showing Americas: he/him/his"
"MichelleSweari5","I'm weird but in a good way.

Cheese & Rice!"
"AmyGehrt","Journalist, breaking news editor for the Tampa Bay Times, former opinion columnist. Die-hard Cubs fan & doggie mom to a golden retriever named Santo. She/her"
"DarrylMW",""
"UdenCatherine","Personal Twitter account of Catherine Uden. Views are my own."
"drbcundiff","Teaches communication St. Petersburg College. Sons of the American Revolution. Gideons. Voiceover Artist. https://t.co/lxD2e6Fft4 :latin cross: @drbcundiff"
"abuarsy21355212",""
"abuukas60979442",""
"moses_faris","gua suka sesuatu yang aneh haha"
"Aruna19962","Barsha2006"
"thomasc08182575","Virginian by birth, Crucian by choice :flag: U.S. Virgin Islands:."
"CaptivaErosion","The Captiva Erosion Prevention District (CEPD) is an independent special beach and shore preservation district established June 19, 1959"
"dulaney_ruth","I'm a Christian Conservative SBBW looking for new friends /longterm. Honesty, intelligent, loyal, sense of humor a plus. No drama, lies, or violence."
"Tide2023","Bama fan"
"jbdacanay",""
"xL3v3Lx","Streamer /First time Dad /Twitch affiliate/Busting butt daily to entertain nightly"
"AndyHaw89285923","Loves #cupcakes, #Dodgers #Seahawks #beagles"
"bedismyfavorite","wash your hands and say your prayers because Jesus and germs are everywhere

#giraffeoftheday"
"EddieLabongchek","Inferior Designer"
"MSpicuzzaMJS","Mom. @MadDanWrites wife. Reporter for the Milwaukee Journal Sentinel. Blackbelt. Sicilian-Irish. DM for Signal. MSpicuzza@gannett.com"
"boxdog1031","St Petersburg Fl via The Hudson River Fire DeSantis Go Gators and Say Gay, Fl. Please don’t pop in and ask me how I’m doing."
"mickshea","nature loving tech geek."
"bratz5321","I have an open mind, doesn't mean I'm going to fall for your BS. ESE teacher #TheResistance #Imwithher #StrongerTogether #BlueWave #TeamJoe #Unions"
"Catcahill15","#FuckPutin
GOP = Gaggle of Pedophiles

GOP are terrorists. Stop negotiating with terrorists.  Elon Musk is a twatwaffle."
"meomy1236","RT IS NOT A ENDORSEMENT IT'S MY OPINION! I Block Trump supporters #science #Biden #Obama"
"jamescando","The silent one without words, unheard, unseen pondering one's humanity. Watching, listening, peeling back what is unseen by others to see what resides within"
"BaylessMarilyn","USAF family (retired). What’s new and exciting ? Find the truth. Tell others."
"Adenosurvivor","Trade with(Rachels_44VSOptions) Trading! Rachel-Rolls, leaves Runner, Scalps!!!!!!!Fast$$$. OR Sam (Smart Trader with SmarterTrading411)finds Monster Wow Moves."
"STIJL","Media studio hinter den bergen."
"yeawelltoldu","Left handed wanderer in Milky Way Galaxy, passing through."
"sherpamom24","Mom, wife(no DMs), psychologist and companion to a black lab.  Worried for the future; Covid, democracy, human rights & climate change. #VoteBlue"
"CtryOverParty",":flag: Ukraine:I Stand With Ukraine and Pres Biden.:water wave::water wave::rainbow::rainbow::dog face:"
"MrDavidBloom1","#resist, #votebluenomatterwho, #FBR, :prohibited:DM’s please"
"MaryRMcdermith","I am a 81 yr old democrat woman in CA. I am outspoken even somewhat rude. I lost my white gloves . I always vote blue but I do criticize them virulently."
"lenniearizona","I'm an Independent activist"
"SPeteDave","I block crypto-babble, ‘influencers’ and spammers, MAGAts, “patriots”"
"KennyFoley3","Question everything. It's all a lie.
God is the only truth."
"debbterhune",":water wave::water wave::water wave::poodle::poodle::cat face::cat face:
Resister, Animal lover, 
Despise all things Trump"
"tim_morrissey","baseball, hockey, footie, fly-fishing, urban life, coastal environs, spatial technology.                            https://t.co/9veSWJZFMw"
"Jada3996","Sophie Moonblaze"
"gr8t76","Born and Raised"
"Beu4ic13","Former FLDOH RN, current sea turtle patroller, always bleeding heart liberal Floridian. Fluctuat nec mergitur."
"BugdenSteven","Air Force Brat. Retired Respiratory Therapist.  Pro-Choice/LGBTQ Ally/BLM/    NO DMs please"
"ChrisAlex13927","Environmental Advocate, Tennis Coach, Animal Lover, Vegetarian and Fitness Enthusiast"
"keithgaputis","Data Engineering, Field CTO Office at @SnowflakeDB. Generally interested in new tech, distributed systems, and software/data architecture."
"gegeregegere",""
"KatyDavisgnv","Student, Campaigns, Elections."
"DebbieD057","Love animals, kids and my grandkids. Good people. I love down to earth funny people, :grinning face with big eyes:  Sweet and sassy. Be kind. Vote blue :blue heart:"
"69Marine","#FREEDOM #2A #USMC #God #Veterans @69Marine on TRUTH #UltraMAGAChapterLeader #Constitution Learn about #SeedOils and #GrassFedGrassFinished #PastureRaised"
"Worried_gma4","FULLY VACCINATED AND PROUD OF IT     NO DM’S"
"Alwys7_4ever73","Sag Sun/Aqua Moon/Aries Rising. Ot7:purple heart: Kim :koala:Namjun. :chipmunk:Hoseok. Music Lover. No minors :no one under eighteen: please. 1-800-273-TALK (US helpline). You are not alone."
"TroyRubert","Cunninghams Law beneficiary. Failure is the best teacher. Know yourself and your enemy. Once is an accident, Twice is a coincidence, Three times is enemy action"
"DetlevBronk","Verified / A 125 year-old genius, quasi-related to Benjy Bronk of the Howard Stern Show. He is not permitted to speak my name, but you may. Ask me anything."
"Sarah_Nicolas","Agent @TheTobiasAgency as Sarah N. Fisk. YA Author as Sarah Nicolas. @qqqpodcast host, event planner, programs lead @disabilityinpub :yellow heart::white heart::purple heart::black heart:"
"islandistheway","President / KS Consulting Services LLC: Motorsports, Sports & Entertainment Marketing /PR /Image Branding/Partnerships /Logistics/Events/Blogger #spieseyes"
"Rene70115","Louisiana native who moved to Florida. Moving out of Florida, because the rent is high and the education level is low."
"SilasMorgan1128","Reporter for @WUFTNews || @UFJSchool || tips? silas.morgan@ufl.edu || Published in @orlandosentinel, @GainesvilleSun, @OcalaStarBanner and @Fla_Pol"
"TolerToler10","Ecologism and Environmentalism are neither left nor right but ahead.  The international green movement must move beyond leftist politics."
"Gmp22ad1",""
"Magnum_Hermosa","Looking to eat healthier, spice up your recipes,or find the best substitute for more ingredients to accommodate special diets or allergies? @Magnum_Hermosa"
"Interna13819612","International Network of Green parties and political movements unifying Green Legislators across the globe. Based in Florida USA  tel. 813-748-7340"
"_baconwrangler_","Just a guy who loves his bacon. Currently addicted to Star Citizen.
""""He's just a poor boy, from a poor galaxy"""""
"JohnPGilbertNFL","Data first, then film to confirm.

Specializing in the Seahawks, the salary cap and the CBA. Deputy Editor at @FieldGulls"
"Im_X1","Katrina refugee - wishin' I was back home. #MKE/#NOLA. #Foodie, #Tequila-lover #Oyster-lover. Irreverent, damn liberal. Nerd. she/her"
